property_id,event_name,date,price,price_range_min,price_range_max,price_changed,sqft,datasource_name,source
M4330367221,Listed,2020-06-23T17:00:00Z,170000,,,0,2056,BrightMLS,MLS #PAPH907372
M4330367221,Price Changed,2020-03-05T17:00:00Z,175000,,,-15000,2056,BrightMLS,MLS #PAPH866198
M4330367221,Listed,2020-01-26T17:00:00Z,190000,,,0,2056,BrightMLS,MLS #PAPH866198
M4330367221,Sold,2018-10-11T17:00:00Z,110000,,,0,2056,,Public Record
M4330367221,Sold,2018-07-18T17:00:00Z,110000,,,0,2056,BrightMLS,MLS #1001875248
M4330367221,Listed,2018-06-14T17:00:00Z,129900,,,0,2056,BrightMLS,MLS #1001875248
M4330367221,Relisted,2009-11-13T17:00:00Z,159900,,,0,0,BrightMLS,MLS #5544719
M4330367221,Listed,2005-05-02T17:00:00Z,167900,,,0,0,BrightMLS,MLS #4524582
M4330367221,Sold,1999-02-05T17:00:00Z,52000,,,0,2056,,Public Record
